Aufnahmezeit;Stromstärke (A);Wirkleistung (W);Scheinleistung (W)
27.10.2022 19:56;0;0;0
27.10.2022 19:57;0,096;3,989952;22,1664
27.10.2022 19:58;0,193;21,817299;44,5251
27.10.2022 19:59;0,2;22,5988;46,12
27.10.2022 20:00;0,234;27,0504;54,1008
27.10.2022 20:01;0,2;23,13;46,26
27.10.2022 20:02;0,182;20,64517;42,133
27.10.2022 20:03;0,184;20,817944;42,4856
27.10.2022 20:04;0,177;20,025957;40,8693
27.10.2022 20:05;0,177;19,982592;40,7808
27.10.2022 20:06;0,199;22,495557;45,9093
27.10.2022 20:07;0,173;19,590347;39,9803
27.10.2022 20:08;0,168;19,05708;38,892
27.10.2022 20:09;0,167;18,951828;38,6772
27.10.2022 20:10;0,157;17,415696;36,2827
27.10.2022 20:11;0,186;20,167794;42,9102
27.10.2022 20:12;0,141;14,943744;32,4864
27.10.2022 20:13;0,063;6,676992;14,5152
27.10.2022 20:14;0,063;6,67989;14,5215
27.10.2022 20:15;0,063;6,53751;14,5278
27.10.2022 20:16;0,063;6,534675;14,5215
27.10.2022 20:17;0,063;6,511995;14,4711
27.10.2022 20:18;0,063;6,6654;14,49
27.10.2022 20:19;0,063;6,682788;14,5278
27.10.2022 20:20;0,124;12,586992;28,6068
27.10.2022 20:21;0,111;11,020857;25,6299
27.10.2022 20:22;0,109;10,82697;25,179
27.10.2022 20:23;0,109;10,566024;25,1572
27.10.2022 20:24;0,063;6,406092;14,5593
27.10.2022 20:25;0,315;37,95246;72,9855
27.10.2022 20:26;0,271;32,023257;62,7907
27.10.2022 20:27;0,209;24,14995;48,2999
27.10.2022 20:28;0,176;19,540224;40,7088
27.10.2022 20:29;0,112;11,14904;25,928
27.10.2022 20:30;0,095;8,8008;22,002
27.10.2022 20:31;0,074;6,177816;17,1606
27.10.2022 20:32;0,073;6,094332;16,9287
27.10.2022 20:33;0,078;6,517368;18,1038
27.10.2022 20:34;0,162;16,154154;37,5678
27.10.2022 20:35;0,063;6,28488;14,616
27.10.2022 20:36;0,078;6,698406;18,1038
27.10.2022 20:37;0,077;6,43104;17,864
27.10.2022 20:38;0,075;6,2532;17,37
27.10.2022 20:39;0,063;6,282171;14,6097
27.10.2022 20:40;0,122;12,154982;28,2674
27.10.2022 20:41;0,204;22,697856;47,2872
27.10.2022 20:42;0,228;25,930212;52,9188
27.10.2022 20:43;0,218;25,288;50,576
27.10.2022 20:44;0,22;25,487;50,974
27.10.2022 20:45;0,216;25,11;50,22
27.10.2022 20:46;0,197;22,88155;45,7631
27.10.2022 20:47;0,222;25,7853;51,5706
27.10.2022 20:48;0,202;23,002952;46,9448
27.10.2022 20:49;0,199;23,0442;46,0884
27.10.2022 20:50;0,192;22,2336;44,4672
27.10.2022 20:51;0,195;22,6395;45,279
27.10.2022 20:52;0,213;24,245151;49,4799
27.10.2022 20:53;0,255;29,61825;59,2365
27.10.2022 20:54;0,232;26,9352;53,8704
27.10.2022 20:55;0,246;28,5729;57,1458
27.10.2022 20:56;0,245;28,43225;56,8645
27.10.2022 20:57;0,238;28,03878;54,978
27.10.2022 20:58;0,224;25,6704;51,3408
27.10.2022 20:59;0,197;22,54665;45,0933
27.10.2022 21:00;0,197;22,076411;45,0539
27.10.2022 21:01;0,2;22,4224;45,76
27.10.2022 21:02;0,206;23,034508;47,0092
27.10.2022 21:03;0,213;23,765049;48,5001
27.10.2022 21:04;0,223;25,36625;50,7325
27.10.2022 21:05;0,213;24,2607;48,5214
27.10.2022 21:06;0,222;25,3191;50,6382
27.10.2022 21:07;0,222;25,3302;50,6604
27.10.2022 21:08;0,219;24,97695;49,9539
27.10.2022 21:09;0,215;24,47775;48,9555
27.10.2022 21:10;0,224;25,4912;50,9824
27.10.2022 21:11;0,216;24,6672;49,3344
27.10.2022 21:12;0,22;24,6323;50,27
27.10.2022 21:13;0,088;4,23192;20,152
27.10.2022 21:14;0,031;0,071114;7,1114
